"yearend","entityid","entityname","bundleguid","filename","lastmodified","cwguid","Entity","Parent Name","Type","Consolidation File Name","Contribution to Parent Entity - Current Year (%)","Contribution to Parent Entity - Prior Year 1 (%)","Contribution to Parent Entity - Prior Year 2 (%)","Contribution to Parent Entity - Prior Year 3 (%)","Contribution to Parent Entity - Prior Year 4 (%)","Contribution to Parent Entity - Budget (%)","Contribution to Parent Entity - Forecast Balance (%)","Consolidation File Location","Extended Description","Type of Consolidation","Consolidation Abbreviated File Name","Include Prior Year Balances","Include Budget Balances","Exclude Zero Balance Accounts","Apply Foreign Exchange","Include Forecast Balance","Enable Account Synchronization","Include Custom Balances","Unmap new external accounts"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MJTuSoKGECcKayO6eXBu+s","Child","Everette Wild","C","description 583","100","100","100","100","100","100","100","","","External","D000583","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","DKl8qF6DkZvD1KDKo+sDSw","Child","Everette Wild","C","description 677","100","100","100","100","100","100","100","","","External","D000677","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","JytGqddJU3wOGi61grqT2a","Child","Everette Wild","C","description 771","100","100","100","100","100","100","100","","","External","D000771","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","O7Rb8kMcEzREMrNB2ivJuF","Child","Everette Wild","C","description 865","100","100","100","100","100","100","100","","","External","D000865","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","FLwiEKW40KKHKpB-XduT2M","Child","Everette Wild","C","description 959","100","100","100","100","100","100","100","","","External","D000959","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","D616NO+XErNIv6KRWnmmus","Child","Everette Wild","C","description 20","100","100","100","100","100","100","100","","","External","D000020","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Nv03qVlckJoFjrjuLTOc6w","Child","Everette Wild","C","description 114","100","100","100","100","100","100","100","","","External","D000114","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","G-kFeGrrkcQAjjPgIkLau5","Child","Everette Wild","C","description 208","100","100","100","100","100","100","100","","","External","D000208","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","OdkZvIdlUzBC5jfN5MFJWZ","Child","Everette Wild","C","description 302","100","100","100","100","100","100","100","","","External","D000302","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Fu6JYdA5U9RP91yiTUuDmP","Child","Everette Wild","C","description 396","100","100","100","100","100","100","100","","","External","D000396","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CISONN2qELID-hwaohTkqS","Child","Everette Wild","C","description 490","100","100","100","100","100","100","100","","","External","D000490","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","OQ+nMcl-kdaNMz4NDFOKy5","Child","Everette Wild","C","description 584","100","100","100","100","100","100","100","","","External","D000584","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EqJytt+G0ZFBBt2KJLGmqt","Child","Everette Wild","C","description 678","100","100","100","100","100","100","100","","","External","D000678","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GV11Z8qaUJ2IYaEs8Vd5is","Child","Everette Wild","C","description 772","100","100","100","100","100","100","100","","","External","D000772","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","P5kyg5qXUYRKDGRFEj0Vut","Child","Everette Wild","C","description 866","100","100","100","100","100","100","100","","","External","D000866","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IiWY8DLkkrOGGEAoYuv6q7","Child","Everette Wild","C","description 960","100","100","100","100","100","100","100","","","External","D000960","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","ElRqVi1YkoULGuFbKsziGf","Child","Everette Wild","C","description 21","100","100","100","100","100","100","100","","","External","D000021","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Matxh+pCEJxJqd6wCgECit","Child","Everette Wild","C","description 115","100","100","100","100","100","100","100","","","External","D000115","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","NqM-hjyL00RMAzO-mTRCO+","Child","Everette Wild","C","description 209","100","100","100","100","100","100","100","","","External","D000209","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","D3zFNxTk0tTOWIUPX815OO","Child","Everette Wild","C","description 303","100","100","100","100","100","100","100","","","External","D000303","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HbEYZIom0EjAgIEbS733u2","Child","Everette Wild","C","description 397","100","100","100","100","100","100","100","","","External","D000397","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","DxSfOwMb0aAI03Md9obnaC","Child","Everette Wild","C","description 491","100","100","100","100","100","100","100","","","External","D000491","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GkQ8g0JhEEPO76xhIBwSG+","Child","Everette Wild","C","description 585","100","100","100","100","100","100","100","","","External","D000585","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","ISWL1MQu0jxBYUkKQYj4GH","Child","Everette Wild","C","description 679","100","100","100","100","100","100","100","","","External","D000679","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EapUywgN087F9aK2M6kSWS","Child","Everette Wild","C","description 773","100","100","100","100","100","100","100","","","External","D000773","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LMKspK3zUxvPGmCfaWJw68","Child","Everette Wild","C","description 867","100","100","100","100","100","100","100","","","External","D000867","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HQJUKLhB05CBwP6hhgu1+b","Child","Everette Wild","C","description 961","100","100","100","100","100","100","100","","","External","D000961","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","KR5BJ6F2kSJLaUuSCDSXaK","Child","Everette Wild","C","description 22","100","100","100","100","100","100","100","","","External","D000022","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","KwjGNwLtkCMFReIAI8haK+","Child","Everette Wild","C","description 116","100","100","100","100","100","100","100","","","External","D000116","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CoQOXkQkUo1OYInzYXtZCr","Child","Everette Wild","C","description 210","100","100","100","100","100","100","100","","","External","D000210","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","KXtdz5dhkyIBrGzJV5kTKd","Child","Everette Wild","C","description 304","100","100","100","100","100","100","100","","","External","D000304","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BY7sdxotk1BFf1Y5s4xkev","Child","Everette Wild","C","description 398","100","100","100","100","100","100","100","","","External","D000398","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MYeGxZx8UhHAhaNRBKqsyD","Child","Everette Wild","C","description 492","100","100","100","100","100","100","100","","","External","D000492","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Pj7gzgQOUqWGwqKffOTcGM","Child","Everette Wild","C","description 586","100","100","100","100","100","100","100","","","External","D000586","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","NH7wnfqtU29D+ulQfPjBqR","Child","Everette Wild","C","description 680","100","100","100","100","100","100","100","","","External","D000680","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","P7jzTHLBESZJmk0+xEJ5Ol","Child","Everette Wild","C","description 774","100","100","100","100","100","100","100","","","External","D000774","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LAJMi-gzksLDvA9-1jXs68","Child","Everette Wild","C","description 868","100","100","100","100","100","100","100","","","External","D000868","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Oe4mVuCq0CDCIscGse3SGa","Child","Everette Wild","C","description 962","100","100","100","100","100","100","100","","","External","D000962","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","D4DMUUFWkjmGxKTnIHWrGD","Child","Everette Wild","C","description 23","100","100","100","100","100","100","100","","","External","D000023","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Ak8yXdRUUUHLGOMvy0iM+2","Child","Everette Wild","C","description 117","100","100","100","100","100","100","100","","","External","D000117","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MNe9vogn0YmOwedpjlDnyv","Child","Everette Wild","C","description 211","100","100","100","100","100","100","100","","","External","D000211","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","OkRIuRuXUo8LsdH4g8JfK8","Child","Everette Wild","C","description 305","100","100","100","100","100","100","100","","","External","D000305","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Eldf4ewAkPpDIZUIyvoWqS","Child","Everette Wild","C","description 399","100","100","100","100","100","100","100","","","External","D000399","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GooFcq3okvyKdm6ZUtYNCu","Child","Everette Wild","C","description 493","100","100","100","100","100","100","100","","","External","D000493","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Pc5jWJOHEujCb5oiTJXBuE","Child","Everette Wild","C","description 587","100","100","100","100","100","100","100","","","External","D000587","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Bk9n7ceUEbrNrRSQnrkoug","Child","Everette Wild","C","description 681","100","100","100","100","100","100","100","","","External","D000681","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","K8mbS7ORUmqAJIVrg5M++0","Child","Everette Wild","C","description 775","100","100","100","100","100","100","100","","","External","D000775","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","I8Hfb5QVEdgC5FOFgEPY6t","Child","Everette Wild","C","description 869","100","100","100","100","100","100","100","","","External","D000869","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CkP0rm5OEKCMrpyo3Bd+yc","Child","Everette Wild","C","description 963","100","100","100","100","100","100","100","","","External","D000963","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HcLyoPiYEl0EzpZvEwblK6","Child","Everette Wild","C","description 24","100","100","100","100","100","100","100","","","External","D000024","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","KJwVqSreEwzAeNsQMRBRCd","Child","Everette Wild","C","description 118","100","100","100","100","100","100","100","","","External","D000118","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","JYZZKmuqkrlD1Ijbg3mHy8","Child","Everette Wild","C","description 212","100","100","100","100","100","100","100","","","External","D000212","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CykHK4do0ReAUJuVOl0sW+","Child","Everette Wild","C","description 306","100","100","100","100","100","100","100","","","External","D000306","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BTx82tr10ogCGHGrLw8GaK","Child","Everette Wild","C","description 400","100","100","100","100","100","100","100","","","External","D000400","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Bg+3DsPk0TlLpazT-NWaqS","Child","Everette Wild","C","description 494","100","100","100","100","100","100","100","","","External","D000494","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","On1Hv72kk5sOh24EEol9i6","Child","Everette Wild","C","description 588","100","100","100","100","100","100","100","","","External","D000588","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","J9YEXbWqEQ0JMRaulKdbuu","Child","Everette Wild","C","description 682","100","100","100","100","100","100","100","","","External","D000682","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MZME5F-LkywItolSf3Bvey","Child","Everette Wild","C","description 776","100","100","100","100","100","100","100","","","External","D000776","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","GH2T2KRrULkETDX4i7+bO6","Child","Everette Wild","C","description 870","100","100","100","100","100","100","100","","","External","D000870","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Jkc1QA3Zk5GFXzmAeiQUyX","Child","Everette Wild","C","description 964","100","100","100","100","100","100","100","","","External","D000964","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","EfAgNXoFUaxIY-Z3HH2TeI","Child","Everette Wild","C","description 25","100","100","100","100","100","100","100","","","External","D000025","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Ogn-X2ElUFALk+M7vkAxqY","Child","Everette Wild","C","description 119","100","100","100","100","100","100","100","","","External","D000119","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","N5QuCkfHkAKC7WvYGtIjSk","Child","Everette Wild","C","description 213","100","100","100","100","100","100","100","","","External","D000213","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","HO-BVJqFEfZAgXs+RcFfCD","Child","Everette Wild","C","description 307","100","100","100","100","100","100","100","","","External","D000307","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","C5cWszSlUroKkp+HxkMXu-","Child","Everette Wild","C","description 401","100","100","100","100","100","100","100","","","External","D000401","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BNs69oDN0ZRLUitYoIVAme","Child","Everette Wild","C","description 495","100","100","100","100","100","100","100","","","External","D000495","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","DkKjr7pZ0GFKWx6wG-BROq","Child","Everette Wild","C","description 589","100","100","100","100","100","100","100","","","External","D000589","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","BivkBPDFUnqDqWr7kE016c","Child","Everette Wild","C","description 683","100","100","100","100","100","100","100","","","External","D000683","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MLYA7i8sUccJxnSNE0ojeG","Child","Everette Wild","C","description 777","100","100","100","100","100","100","100","","","External","D000777","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LlV1hVjjUalNSPva5Uh-SI","Child","Everette Wild","C","description 871","100","100","100","100","100","100","100","","","External","D000871","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","P6MKjHXt0M6PYbjyxZS6uf","Child","Everette Wild","C","description 965","100","100","100","100","100","100","100","","","External","D000965","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","H825uc-7kmZFLFr7gcAXyt","Child","Everette Wild","C","description 26","100","100","100","100","100","100","100","","","External","D000026","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LBnwdue9EpKKPGASn+UiqP","Child","Everette Wild","C","description 120","100","100","100","100","100","100","100","","","External","D000120","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","M1eiwJY3EICOEli92tlva-","Child","Everette Wild","C","description 214","100","100","100","100","100","100","100","","","External","D000214","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Dq-9JzZQk96OwDsezWMvup","Child","Everette Wild","C","description 308","100","100","100","100","100","100","100","","","External","D000308","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","KNsThxBJUJUGkxNtPrUHGw","Child","Everette Wild","C","description 402","100","100","100","100","100","100","100","","","External","D000402","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MNo13EdWk8SGWcijuwQjuD","Child","Everette Wild","C","description 496","100","100","100","100","100","100","100","","","External","D000496","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","PrTHUON3UH5BzIthq9pV6D","Child","Everette Wild","C","description 590","100","100","100","100","100","100","100","","","External","D000590","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","ODpz6J6IUIQLbGFYcDxIuA","Child","Everette Wild","C","description 684","100","100","100","100","100","100","100","","","External","D000684","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","DJZHMYszEjDI5HrB3xmo25","Child","Everette Wild","C","description 778","100","100","100","100","100","100","100","","","External","D000778","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CtA9KuBfExnEAeIlUE3By-","Child","Everette Wild","C","description 872","100","100","100","100","100","100","100","","","External","D000872","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","JidJIWm30vdBYj1gOlMq6y","Child","Everette Wild","C","description 966","100","100","100","100","100","100","100","","","External","D000966","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","D+JnDPco0McC5xkk2Wjqi8","Child","Everette Wild","C","description 27","100","100","100","100","100","100","100","","","External","D000027","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","FN0hJ1G0kCKMqzl-JB+iSw","Child","Everette Wild","C","description 121","100","100","100","100","100","100","100","","","External","D000121","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","MZp6bjP5EexPx-TucU6QOV","Child","Everette Wild","C","description 215","100","100","100","100","100","100","100","","","External","D000215","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","DBPKEDNoUYjGopgvKtd+iq","Child","Everette Wild","C","description 309","100","100","100","100","100","100","100","","","External","D000309","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","J1TkOACt0xCMLlI04a+gaV","Child","Everette Wild","C","description 403","100","100","100","100","100","100","100","","","External","D000403","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","IyjgBVKS0vXBa8tqR3rSG7","Child","Everette Wild","C","description 497","100","100","100","100","100","100","100","","","External","D000497","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","CTXyqrG4kzvHqwgt1ZTImc","Child","Everette Wild","C","description 591","100","100","100","100","100","100","100","","","External","D000591","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","B080iKcC0PDMztbbDNjSa7","Child","Everette Wild","C","description 685","100","100","100","100","100","100","100","","","External","D000685","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","LJqTgdHhUYGBatDylVlTmH","Child","Everette Wild","C","description 779","100","100","100","100","100","100","100","","","External","D000779","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","G3IUm0N7U4aPh9nITQ0lOC","Child","Everette Wild","C","description 873","100","100","100","100","100","100","100","","","External","D000873","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","H5hCymQgkyOJXCYntMhuW5","Child","Everette Wild","C","description 967","100","100","100","100","100","100","100","","","External","D000967","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","Ft07s8pQU1nJXs0JEqvzGk","Child","Everette Wild","C","description 28","100","100","100","100","100","100","100","","","External","D000028","No","No","No","No","No","No","No","No"
"2015","3","City_of_Warnada","70b61be0-f142-45d1-a145-6ec6b942ebf0","TM18_CY_948_v1_0.ac","2020-01-14","JU-3lRIZ0u1OUaPyHhLaaw","Child","Everette Wild","C","description 122","100","100","100","100","100","100","100","","","External","D000122","No","No","No","No","No","No","No","No"
